source,target,weight
english for specific purposes,journal of business communication,1
english for specific purposes,journal of language and social psychology,1
english for specific purposes,journal of second language writing,1
english for specific purposes,journal of the acoustical society of america,1
english for specific purposes,language assessment quarterly,1
english for specific purposes,language learning,1
english for specific purposes,modern language journal,1
english for specific purposes,multilingual matters,1
english for specific purposes,natural language engineering,1
english for specific purposes,online information review,1
english education,english education,1
english dance and song,journal of american folklore,1
english historical review,historia polityka,1
english association of pennsylvania state universities eapsu online,journal of victorian culture,1
english,theatre survey,1
english,trailer life,1
english academy review,english literature,1
english academy review,journal of literary studies,1
english academy review,journal of postcolonial writing,1
english academy review,scrutiny2,1
english academy review,transition,1
english and american studies in german summaries of theses and monographs,notes and queries,1
english and american studies in german summaries of theses and monographs,pmla,1
english and american studies in german summaries of theses and monographs,the yearbook of english studies,1
english association of pennsylvania state universities eapsu online,studies in the novel,1
annals of general psychiatry,brookings papers on economic activity,1
english atlantics revisited,journal of british studies,1
english atlantics revisited,maryland historian,1
english atlantics revisited,maryland historical magazine,1
english atlantics revisited,new york history,1
english atlantics revisited,proceedings of the massachusetts historical society third series,1
annals of general psychiatry,bulletin de lacadxe9mie nationale de mxe9decine,1
english dance  song,fret,1
english dance  song,the guardian,1
english dance and song,english dance and song,1
english dance and song,exemplaria,1
english for specific purposes,papers in language testing and assessment,1
english for specific purposes,teaching english in the twoyear college,1
english for specific purposes,tesol quarterly,1
english historical review,forktail,1
english historical review,eurasian geography and economics,1
english historical review,eurasian studies yearbook,1
annals of general psychiatry,brain sciences,1
annals of general psychiatry,brain sci,1
english historical review,europeasia studies,1
english historical review,evolutionary anthropology,1
annals of general psychiatry,brain research reviews,1
english historical review,family relations,1
english historical review,flavor and fortune,1
english historical review,fordham international law journal,1
annals of general psychiatry,brain research brain research reviews,1
english for specific purposes,textus,1
annals of general psychiatry,brain res rev,1
english historical review,garden history,1
english historical review,gender  history,1
english historical review,german history,1
english historical review,glasgow archaeological journal,1
annals of general psychiatry,brain imaging and behavior,1
english historical review,harvard asia quarterly,1
english historical review,haskins anniversary essays in medieval history,1
english historical review,hermathena,1
english historical review,hispania,1
english historical review,ethics,1
english historical review,eolas the journal of the american society of irish medieval studies,1
english historical linguistics 2006 selected papers from the fourteenth international conference on english historical linguistics icehl 14 bergamo 21u201325 august 2006,pathways of change grammaticalization in english,1
english historical documents online,historical reflections,1
english for specific purposes,the journal of academic librarianship,1
english for specific purposes,the modern language journal,1
english for specific purposes,the writing center journal,1
english for specific purposes,world englishes,1
english heritage,kent  sussex courier,1
english heritage,proceedings of the prehistoric society,1
english heritage,saturday review of politics literature science and art,1
english heritage archaeological reports,frxfchmittelalterliche studien,1
english heritage archaeological reports,journal of the british archaeological association,1
english heritage archaeological reports,journal of the institute of conservation,1
english heritage archaeological reports,medieval archaeology,1
english heritage archaeological reports,medium xc6vum,1
english heritage archaeological reports,oxoniensia,1
english heritage archaeological reports,revue archxe9ologique,1
english heritage historical review,huntington library quarterly,1
english heritage historical review,london archaeologist,1
english heritage historical review,philosophical transactions of the royal society b,1
english heritage historical review,quaternary science reviews,1
english heritage historical review,the ancestor,1
english heritage historical review,the london journal,1
english historical documents,notes and queries,1
english historical review,middle eastern studies,1
annals of general psychiatry,archives of internal medicine,1
english historical review,military affairs,1
