Title,page_title
"Glacial processes, past and present: Glaciaological and Geological implications of basal ice accretion in overdeepenings",overdeepening
"New Developments in Irish Population History, 1700-1850",ballitore
"New Developments in Irish Population History, 1700\u20131850",straffan
The True Confessions of Charlotte Doyle,the true confessions of charlotte doyle
Enzymology of human cytosolic sulfotransferases,carbohydrate sulfotransferase
The nuclear experience of CPEB: implications for RNA processing and translational control.,cpeb
A randomized clinical trial to dismantle components of cognitive processing therapy for posttraumatic stress disorder in female victims of interpersonal violence,psychological trauma
Protein sequence redundancy reduction: comparison of various method,sequence database
Ideomotor apraxia: a review.,ideomotor apraxia
The Estimation of the Cobb-Douglas Function: A Retrospective View,cobb–douglas production function
Yellow Rain: The Story Collapses,yellow rain
"Meta-analyzing left hemisphere language areas: phonology, semantics, and sentence processing",reading comprehension
Anisoptera megistocarpa,anisoptera megistocarpa
Hopea sulcata,hopea sulcata
Shorea geniculata,shorea geniculata
Aroegas nigroornatus,black-spotted false shieldback
Hemixos cinereus,cinereous bulbul
Scincella silvicola,scincella silvicola
Gasteranthus timidus,gasteranthus timidus
Brachyotum johannes-julii,brachyotum johannes-julii
Podocarpus brasiliensis,podocarpus brasiliensis
Macrozamia platyrhachis,macrozamia platyrhachis
Capoeta pestai,capoeta pestai
Alburnus escherichii,alburnus escherichii
Teinopalpus aureus,teinopalpus aureus
Physalaemus obtectus,physalaemus obtectus
Napaeus pygmaeus,napaeus pygmaeus
Comparison of different heterocyclic scaffolds as substrate analog PDE5 inhibitors,n-propyl azide
Pristimantis satagius,pristimantis satagius
Linnaeus at Work with 'Species Plantarum,critica botanica
Oxanthera neocaledonica,oxanthera neocaledonica
Cynometra brachyrrhachis,cynometra brachyrrhachis
Psychotria cyathicalyx,psychotria cyathicalyx
Hibiscus escobariae,hibiscus escobariae
Microgramma tuberosum,microgramma tuberosa
Banara regia,banara regia
Aloe peglerae,aloe peglerae
Nyctimystes foricula,nyctimystes foricula
Clea spinosa,clea spinosa
Barbarophryne brongersmai,barbarophryne
Leucoraja garmani,rosette skate
Devario manipurensis,devario manipurensis
Clitoria moyobambensis,clitoria moyobambensis
Eugenia acutisepala,eugenia acutisepala
Garcinia thwaitesii,garcinia thwaitesii
Triaenodes tridonata,triaenodes tridonata
Vepris glandulosa,vepris glandulosa
"Obituary. John Clarke Hawkshaw, Past-President, 1841-1921",john clarke hawkshaw
Biogeographic Analyses of the Ediacara Biota: A Conflict with Paleotectonic Reconstructions,ediacaran biota
\u30bf\u30ec\u30f3\u30c8\u30d1\u30ef\u30fc\u30e9\u30f3\u30ad\u30f3\u30b0 \u30c8\u30c3\u30d7100,japan expo
Thermoresponsive shape-memory photonic nanostructures,shape-memory polymer
UNIX Time-Sharing System: UNIX on a Microprocessor,history of unix
Some effects of oxygen on the mixing of bread doughs,nitrogen trichloride
Preparation of Nb3Ge films by chemical transport reaction and their critical properties,list of superconductors
The sequence of the isoepoxydon dehydrogenase gene of the patulin biosynthetic pathway in Penicillium species,penicillium dipodomyicola
Pathwise comparison results for stochastic fluid networks,skorokhod problem
Vacancy concentrations in metals,vacancy defect
High-performance liquid chromatographic determination of citropten and bergapten in suction blister fluid after solar product application in humans,citropten
"Superconductivity of GIC with Li, Na and K",list of superconductors
Reversible cortical blindness in preeclampsia,cortical blindness
The logic of asymmetric contests,chicken (game)
Regression of uterine low-grade smooth-muscle tumors metastatic to the lung after oophorectomy,leiomyosarcoma
Superconductivity of a striped phase at the atomic limit,superstripes
"Global sea-air CO2 flux based on climatological surface ocean pCO2, and seasonal biological and temperature effects",continental shelf pump
"Biodiesel from oilgae, biofixation of carbon dioxide by microalgae: A solution to pollution problems",algae fuel
The effect of additive of Lewis acid type on lithium\u2013gel electrolyte characteristics,fast ion conductor
History of Alcohol Use Disorders and Risk of Severe Cognitive Impairment: A 19-Year Prospective Cohort Study,long-term impact of alcohol on the brain
Chemotherapy. II. Some Sulfanilamido Heterocycles1,sulfamerazine
Optimizing Gold Nanoparticle Cluster Configurations (n\u2264 7) for Array Applications,photonic molecule
Graphene on Ni(111): Coexistence of Different Surface Structures,graphene production techniques
P\u2212C and C\u2212C Bond Formation by Michael Addition in Platinum-Catalyzed Hydrophosphination and in the Stoichiometric Reactions of Platinum Phosphido Complexes with Activated Alkenes,transition metal phosphido complexes
Detection of localized DNA flexibility,donald crothers
Love in the lab: Close collaborators,mark pagel
Computer modellers secure chemistry Nobels,michael levitt
Academia: The changing face of tenure,postdoctoral researcher
Evolutionary relationships of euthyneuran gastropods (Mollusca): a cladistic re-evaluation of morphological characters,systellommatophora
"After Ebola in West Africa \u2014 Unpredictable Risks, Preventable Epidemics",christopher dye
Percy W. Bridgman,percy williams bridgman
Forecasting sudden changes in environmental pollution patterns,lagrangian coherent structure
Death of Charles A. Murdock,charles albert murdock
Discovery of TeV Gamma-Ray Emission from the Cygnus Region of the Galaxy,electromagnetic spectrum
"Nuvatukya'ovi, San Francisco Peaks",san francisco peaks
Paul Ehrenfest and the Dilemmas of Modernity,paul ehrenfest
X-Ray Emission from Nitrogen-Type Wolf-Rayet Stars,wr 134
A non-filamentary switching action in thermally grown silicon dioxide films,resistive random-access memory
Generic issues for direct conversion of fusion energy from alternative fuels,polywell
Further characterization of the biological and pathogenic properties of erythromelalgia-related poxviruses,erythromelalgia
Capture of Slow Neutrons,relativistic breit–wigner distribution
Satellite test of Special Relativity using the Global Positioning System,special relativity
Critical Exponents for the n-Vector Model in Three Dimensions from Field Theory,jean zinn-justin
The SpiNNaker Project,manchester computers
"The cuticular structure of the 495-Myr-old type species of the fossil worm Palaeoscolex, P. piscatorum (?Priapulida)",louisella
Hirsutism,hypertrichosis
Subnuclear Compartmentalization of Immunoglobulin Loci During Lymphocyte Development,amanda fisher
Causal Protein-Signaling Networks Derived from Multiparameter Single-Cell Data,dana pe'er
What is Natural? The Need for a Long-Term Perspective in Biodiversity Conservation,kathy willis
Aberrant Overexpression of Satellite Repeats in Pancreatic and Other Epithelial Cancers,fluorescence in situ hybridization
Neotropical Anachronisms: The Fruits the Gomphotheres Ate,columbian mammoth
The chemical composition of the red giant \u03b7 Ser,eta serpentis
Pulkovo Compilation of Radial Velocities for 35 495 Hipparcos stars in a common system,zeta pavonis
Forecasting as an Operations Management Tool in a Medical Examiner's Office,forecasting
A national clinical decision support infrastructure to enable the widespread and consistent practice of genomic and personalized medicine,predictive genomics
Genetic background affects induced pluripotent stem cell generation,induced stem cells
"HDL, lipid peroxidation, and atherosclerosis",low-density lipoprotein
Gender effects on job satisfaction in the House of Representatives,united states congress
The Origin and Early Evolution of Sauria: Reassessing the Permian Saurian Fossil Record and the Timing of the Crocodile-Lizard Divergence,noteosuchus
"A new species of Amolops from Thailand (Amphibia, Anura, Ranidae)",amolops larutensis
Inspections to Avert Terrorism: Robustness Under Severe Uncertainty,info-gap decision theory
The Seas: Our Knowledge of Life in the Sea and How It is Gained,sea
"Artifacts with Mammoth Remains, Naco, Arizona",columbian mammoth
The Chaghadaids and Islam: The Conversion of Tarmashirin Khan (1331-34),tarmashirin
"Kempfidris, a new genus of myrmicine ants from the Neotropical region (Hymenoptera: Formicidae)",kempfidris
Networks and cronyism: A social exchange analysis,cronyism
Overview of the radiometric and biophysical performance of the MODIS vegetation indices,vegetation index
DARK Classics in Chemical Neuroscience: NBOMes,25-nb
Stepwise and independent origins of roots among land plants,asteroxylon
Navigation in der Neurochirurgie,günther c. feigl
"Light- and bias-induced metastabilities in Cu(In,Ga)Se2 based solar cells caused by the (VSe-VCu) vacancy complex",light soaking
The Early Lords of the Belvoir,grimoult of plessis
An Investigation of the Incidence of Client-Perpetrated Sexual Violence Against Male Sex Workers,drugs and prostitution
What are the minimal sample size requirements for Mokken scaling? An empirical example with the Warwick- Edinburgh Mental Well-Being Scale,roger watson (academic)
"Engineering education needs a ""second mile""",william e. wickenden
