Title,page_title
SEPT5_v2 is a parkin-binding protein,parkin (ligase)
iLoc-Euk: a multi-label classifier for predicting the subcellular localization of singleplex and multiplex eukaryotic proteins,protein subcellular localization prediction
CAG repeat instability at SCA2 locus: anchoring CAA interruptions and linked single nucleotide polymorphisms,ataxin-2
Identification and characterization of a novel cytokine-inducible nuclear protein from human endothelial cells,ankrd1
Pleiotropic defects in lymphocyte activation caused by caspase-8 mutations lead to human immunodeficiency,caspase 8
"Sodium-hydrogen exchanger, cardiac overload, and myocardial hypertrophy",sodium–hydrogen antiporter 1
Leptin signaling in breast cancer: an overview,leptin
"The secreted protein discovery initiative (SPDI), a large-scale effort to identify novel human secreted and transmembrane proteins: a bioinformatics assessment",lrrtm1
"The secreted protein discovery initiative (SPDI), a large-scale effort to identify novel human secreted and transmembrane proteins: a bioinformatics assessment",pomgnt1
FTO Obesity Variant Circuitry and Adipocyte Browning in Humans,fto gene
The potential for misuse and abuse of medications in ADHD: a review,amphetamine
"Serum LP(a) levels in African aboriginal Pygmies and Bantus, compared with Caucasian and Asian population samples",lipoprotein(a)
Estetrol review: profile and potential clinical applications,estriol (medication)
African perceptions of female attractiveness,eating disorder
Structural and functional heterogeneity of alpha spectrin mutations involving the spectrin heterodimer self-association site: relationships to hematologic expression of homozygous hereditary elliptocytosis and hereditary pyropoikilocytosis,sptb
A small interfering RNA screen for modulators of tumor cell motility identifies MAP4K4 as a promigratory kinase,map4k4
A Mouse for All Reasons,psat1
"VDAC, a channel in the outer mitochondrial membrane",voltage-dependent anion channel
PED/PEA-15: an anti-apoptotic molecule that regulates FAS/TNFR1-induced apoptosis,caspase 8
Long term effects of dietary sodium reduction on cardiovascular disease outcomes: observational follow-up of the trials of hypertension prevention (TOHP),cardiovascular disease
Soft tissue impact characterisation kit (STICK) for ex situ investigation of heart rhythm responses to acute mechanical stimulation,commotio cordis
Transcriptional analysis of the 69-kb sequence centromeric to HLA-J: a dense and complex structure of five genes,znrd1
Glutamate induces calcium waves in cultured astrocytes: long-range glial signaling,astrocyte
Emerging medication for the treatment of male hypogonadism,dimethandrolone undecanoate
PreSSAPro: a software for the prediction of secondary structure by amino acid properties,protein structure prediction
Suspected GHB overdoses in the emergency department,gamma-hydroxybutyric acid
Inflammation and cancer,dna damage (naturally occurring)
Myosin X is a downstream effector of PI(3)K during phagocytosis,myo10
Pore membrane and/or filament interacting like protein 1 (POMFIL1) is predominantly expressed in the nervous system and encodes different protein isoforms,nav1
The protein SdhA maintains the integrity of the Legionella-containing vacuole,legionella pneumophila
Inactivation of 5-HT(2C) receptors potentiates consequences of serotonin reuptake blockade,sb-242084
Epigenetic modifications of brain and behavior: theory and practice,behavioral epigenetics
"Biosynthesis of monoterpenes: partial purification, characterization, and mechanism of action of 1,8-cineole synthase","1,8-cineole synthase"
Recent advances in understanding enteric pathogenic Escherichia coli,escherichia coli
"Strong intra- and inter-continental differentiation revealed by Y chromosome SNPs M269, U106 and U152",haplogroup r1b
Global trends in typhoid and paratyphoid Fever,typhoid fever
Heterogeneity of macrophage infiltration and therapeutic response in lung carcinoma revealed by 3D organ imaging,tumor-associated macrophage
Progressive pseudogenization: vitamin C synthesis and its loss in bats,vitamin c
Swine influenza (H1N1) and acute appendicitis,appendicitis
Identification of regions within the third FnIII-like domain of the IL-5Ralpha involved in IL-5 interaction.,interleukin 5 receptor alpha subunit
The role of the novel adipocyte-derived hormone adiponectin in human disease,adiponectin
Determination of genetic predisposition to patent ductus arteriosus in preterm infants,endothelin 2
Evidence for the existence of monoamine-containing neurons in the central nervous system. I. Demonstration of monoamines in the cell bodies of brain stem neurons,dopamine
Rabies in medieval Persian literature - the Canon of Avicenna (980-1037 AD),rabies
Chronobiological Therapy for Mood Disorders,chronotherapy (treatment scheduling)
Prediction models for cardiovascular disease risk in the general population: systematic review,cardiovascular disease
Functional association of U2 snRNP with the ATP-independent spliceosomal complex E,sf3a2
ITI-007 in the treatment of schizophrenia: from novel pharmacology to clinical outcomes,lumateperone
"The Simpson-Golabi-Behmel syndrome causative glypican-3, binds to and inhibits the dipeptidyl peptidase activity of CD26",glypican 3
Time budgets in red junglefowl as a baseline for the assessment of welfare in domestic-fowl.,behavioral enrichment
Treatment of Haemophilus aphrophilus endocarditis with ciprofloxacin,hnrnpa2b1
Further evidence that neurofilament light chain gene mutations can cause Charcot-Marie-Tooth disease type 2E,neurofilament light polypeptide
CLOCK and NPAS2 have overlapping roles in the suprachiasmatic circadian clock,npas2
Nucleotide dependent motion and mechanism of action of p97/VCP,valosin-containing protein
Estrogen and thrombosis: controversies and common sense,medroxyprogesterone acetate
Oral administration of pyrophosphate inhibits connective tissue calcification,pseudoxanthoma elasticum
A central role for HSC70 in regulating antigen trafficking and MHC class II presentation,heat shock protein
Mobile elements and mammalian genome evolution,genome
Monodactylous limbs and abnormal genitalia are associated with hemizygosity for the human 2q31 region that includes the HOXD cluster,hoxd9
The simultaneous assay of tenofovir and emtricitabine in plasma using LC/MS/MS and isotopically labeled internal standards,tenofovir disoproxil
Drug drug interactions between antithrombotic medications and the risk of gastrointestinal bleeding,aspirin
The candidate spermatogenesis gene RBMY has a homologue on the human X chromosome,rbmx
Phosphoinositide-3-OH kinase-dependent regulation of glycogen synthase kinase 3 and protein kinase B/AKT by the integrin-linked kinase.,akt2
"Packing, specificity, and mutability at the binding interface between the p160 coactivator and CREB-binding protein",kix domain
Platelet-activating factor. Evidence for 1-O-alkyl-2-acetyl-sn-glyceryl-3-phosphorylcholine as the active component (a new class of lipid chemical mediators),ether lipid
Acetylation of HIV-1 Tat by CBP/P300 increases transcription of integrated HIV-1 genome and enhances binding to core histones,hist2h3c
Homeodomain proteins belong to the ancestral molecular toolkit of eukaryotes,homeobox
Regulation of blood pressure and cardiovascular function by renalase,renalase
DNA binding activity from cultured human fibrolasts that is specific for partially depurinated DNA and that inserts purines into apurinic sites,datp(dgtp)—dna purinetransferase
Relocating the active-site lysine in rhodopsin and implications for evolution of retinylidene proteins,opsin
"Duration, complications, stress, and pain of open ovariohysterectomy versus a simple method of laparoscopic-assisted ovariohysterectomy in dogs",laparoscopy
Canakinumab,canakinumab
A cytokine-responsive IkappaB kinase that activates the transcription factor NF-kappaB,iκbα
Histone lysine demethylase JARID1a activates CLOCK-BMAL1 and influences the circadian clock,kdm5a
Identification of interaction partners and substrates of the cyclin A1-CDK2 complex,gps2 (gene)
Raf kinase activation of adenylyl cyclases: isoform-selective regulation,c-raf
"Mitophagy: mechanisms, pathophysiological roles, and analysis",phagosome
Identical mutations in NOG can cause either tarsal/carpal coalition syndrome or proximal symphalangism,noggin (protein)
Acupuncture for menopausal hot flushes,menopause
Mouse library set to be knockout,pfkl
Topology of the human and mouse m6A RNA methylomes revealed by m6A-seq,chuan he
Clinical and molecular genetics of psychotic depression,dopamine receptor d4
"Crystallization and X-ray diffraction of a halogenating enzyme, tryptophan 7-halogenase, from Pseudomonas fluorescens",tryptophan 7-halogenase
"Interactions of STAT5b-RARalpha, a novel acute promyelocytic leukemia fusion protein, with retinoic acid receptor and STAT3 signaling pathways",retinoic acid receptor alpha
"Bleomycin pharmacology: mechanism of action and resistance, and clinical pharmacokinetics",chemotherapy
The paracaspase MALT1 cleaves the LUBAC subunit HOIL1 during antigen receptor signaling,malt1
One-pot silver nanoring synthesis,nanoring
High-dose continuous-infusion fosfestrol in hormone-resistant prostate cancer,fosfestrol
"Peptide sequencing identifies MSS1, a modulator of HIV Tat-mediated transactivation, as subunit 7 of the 26 S protease",psmc4
IL-23 receptor (IL-23R) gene protects against pediatric Crohn's disease,interleukin-23 receptor
Structure of intracellular mature vaccinia virus observed by cryoelectron microscopy,smallpox
"Molecular screening of SHH, ZIC2, SIX3, and TGIF genes in patients with features of holoprosencephaly spectrum: Mutation review and genotype-phenotype correlations",zic2
How Tlg2p/syntaxin 16 'snares' Vps45,stx16
The DNA sequence of human chromosome 22,ddx17
Expression of dominant-negative src-homology domain 2-containing protein tyrosine phosphatase-1 results in increased Syk tyrosine kinase activity and B cell activation,ptpn6
"Isolation, molecular cloning, and partial characterization of a novel carboxypeptidase B from human plasma",carboxypeptidase u
"Modification of CCAAT/enhancer-binding protein-beta by the small ubiquitin-like modifier (SUMO) family members, SUMO-2 and SUMO-3",sumo2
Seipin is necessary for normal brain development and spermatogenesis in addition to adipogenesis,seipin
Parsing polyphyletic Pueraria: Delimiting distinct evolutionary lineages through phylogeny,desmodieae
[Psychodiagnostic findings in anorexia nervosa and post-pill amenorrhea],eating disorder
D-myoinositol 1-phosphate as product of cyclization of glucose 6-phosphate and substrate for a specific phosphatase in rat testis,inositol-phosphate phosphatase
(-)-OSU 6162 inhibits levodopa-induced dyskinesias in a monkey model of Parkinson's disease,osu-6162
Lasers in periodontics,gingivectomy
Last step in the conversion of trehalose to glycogen: a mycobacterial enzyme that transfers maltose from maltose 1-phosphate to glycogen,starch synthase (maltosyl-transferring)
Enhancement of DNA repair in human skin cells by thymidine dinucleotides: evidence for a p53-mediated mammalian SOS response,melanocyte
"[Deaf-mutism, lymphedema of the lower limbs and hematological abnormalities (acute leukemia, cytopenia) with autosomal dominant transmission]",emberger syndrome
Active and passive immunization against the virus of malignant pan leucopenia of cats,william hammon
Purification and properties of collagenase from a Streptomyces species,microbial collagenase
Double burst stimulation (DBS): a new pattern of nerve stimulation to identify residual neuromuscular block,neuromuscular monitoring
Constitutive activation of mitogen-activated protein kinase-activated protein kinase 2 by mutation of phosphorylation sites and an A-helix motif,mapkapk2
Systematic evaluation of spliced alignment programs for RNA-seq data,rna-seq
Genetic variants of estrogen beta and leptin receptors may cause gynecomastia in adolescent,estrogen receptor alpha
"The ETO portion of acute myeloid leukemia t(8;21) fusion transcript encodes a highly evolutionarily conserved, putative transcription factor",runx1t1
Genome-scale engineering for systems and synthetic biology,genetically modified organism
LRP-1: a checkpoint for the extracellular matrix proteolysis,lrp1
Molecular coevolution of mammalian ribosomal gene terminator sequences and the transcription termination factor TTF-I,"transcription termination factor, rna polymerase i"
Analysis of the molecular composition of Ro ribonucleoprotein complexes. Identification of novel Y RNA-binding proteins,trim21
Sir2 blocks extreme life-span extension,sirtuin 1
Anti-Saccharomyces cerevisiae as unusual antibodies in autoimmune hepatitis,coeliac disease
Alpha heavy chain disease alpha mRNA contain nucleotide sequences of unknown origins,heavy chain disease
Mechanisms and risk factors of thrombosis in cancer,deep vein thrombosis
"BLOC-1, a novel complex containing the pallidin and muted proteins involved in the biogenesis of melanosomes and platelet-dense granules",muted
"Targeted genetic dependency screen facilitates identification of actionable mutations in FGFR4, MAP3K9, and PAK5 in lung cancer",pak5
Differentiation-driven nucleolar association of the mouse imprinted Kcnq1 locus,kcnq1ot1
Guanine-nucleotide exchange factors: a family of positive regulators of Ras and related GTPases,guanine nucleotide exchange factor
Vitronectin and its receptors,vitronectin
Voltage-gated calcium channels in the human adrenal and primary aldosteronism,voltage-gated calcium channel
Remodeling the intercalated disc leads to cardiomyopathy in mice misexpressing cadherins in the heart,cdh2
Deletions and replacements of omega loops in yeast iso-1-cytochrome c,jacquelyn s. fetrow
Association of the CYP27B1 C(-1260)A polymorphism with autoimmune Addison's disease,25-hydroxyvitamin d3 1-alpha-hydroxylase
Charakterisierung einer Serie von monoklonalen Antik\xf6rpern gegen humane T-Zellen,cluster of differentiation
Allylestrenol: a new oral progestogen,allylestrenol
Targeting bromodomains: epigenetic readers of lysine acetylation,histone acetylation and deacetylation
MR imaging of Creutzfeldt-Jakob disease,creutzfeldt–jakob disease
Botanical and phytochemical therapy of acne: a systematic review,acne
Steroid 5\u03b1-Reductase Inhibitors,list of 5α-reductase inhibitors
Genes contributing to minimal residual disease in childhood acute lymphoblastic leukemia: prognostic significance of CASP8AP2,casp8ap2
Towards predictive ligand design with free-energy based computational methods?,scoring functions for docking
Specific binding of estramustine to prostatic proteins,estramustine phosphate
Oxidative modification of nicotinamide nucleotide transhydrogenase in submitochondrial particles: effect of endogenous ubiquinol,nnt (gene)
Pathogenetic effector function of CD4-positive T helper 1 cells in hepatitis B virus transgenic mice,dna vaccination
Potential role for Pex19p in assembly of PTS-receptor docking complexes,pex19
Pharmacokinetic interactions between alcohol and other drugs,disulfiram-like drug
The Leishmania donovani UMP synthase is essential for promastigote viability and has an unusual tetrameric structure that exhibits substrate-controlled oligomerization,uridine monophosphate synthetase
