Title,page_title
"Proteomic, functional, and domain-based analysis of in vivo 14-3-3 binding proteins involved in cytoskeletal regulation and cellular organization.",sh3bp4
The human mitochondrial ribosomal protein genes: mapping of 54 genes to the chromosomes and implications for human disorders.,mitochondrial ribosomal protein l42
A scaffold protein in the c-Jun NH2-terminal kinase signaling pathways suppresses the extracellular signal-regulated kinase signaling pathways.,mapk8ip3
Strong association of ARK5 with tumor invasion and metastasis.,nuak1
"FXR regulates organic solute transporters alpha and beta in the adrenal gland, kidney, and intestine",ostalpha
Mouse DAM1 regulates pro-apoptotic activity of BLK in mammary epithelial cells.,tyrosine-protein kinase blk
Mammalian homologues of the Drosophila slit protein are ligands of the heparan sulfate proteoglycan glypican-1 in brain.,slit2
"LKB1 is a master kinase that activates 13 kinases of the AMPK subfamily, including MARK/PAR-1.",nuak2
Genetic variations in the gene encoding TFAP2B are associated with type 2 diabetes mellitus,tfap2b
Human immunodeficiency virus type 1 tat activates non-N-methyl-D-aspartate excitatory amino acid receptors and causes neurotoxicity,grin3b
Large-scale identification and characterization of human genes that activate NF-kappaB and MAPK signaling pathways,traf3ip2
The LIFEdb database in 2006.,kiaa1524
Fc receptor gamma-chain activation via hOSCAR induces survival and maturation of dendritic cells and modulates Toll-like receptor responses.,oscar (gene)
Lambda5 is required for rearrangement of the Ig kappa light chain gene in pro-B cell lines,igll1
Expression pattern of human P2Y receptor subtypes: a quantitative reverse transcription-polymerase chain reaction study.,p2ry2
cDNA cloning of a novel testis-specific calcineurin B-like protein.,ppp3r2
Prediction of the coding sequences of unidentified human genes. XVII. The complete sequences of 100 new cDNA clones from brain which code for large proteins in vitro.,osbpl8
UV-dependent alternative splicing uncouples p53 activity and PIG3 gene function through rapid proteolytic degradation,tp53i3
CRMP-2 regulates polarized Numb-mediated endocytosis for axon growth,numb (gene)
"Proteomics analysis of the centromere complex from HeLa interphase cells: UV-damaged DNA binding protein 1 (DDB-1) is a component of the CEN-complex, while BMI-1 is transiently co-localized with the centromeric region in interphase",rnf2
"Biglycan, a vascular proteoglycan, binds differently to HDL2 and HDL3: role of apoE.",jph3
Vascular endothelial growth factor B (VEGF-B) binds to VEGF receptor-1 and regulates plasminogen activator activity in endothelial cells.,vascular endothelial growth factor b
"Global, in vivo, and site-specific phosphorylation dynamics in signaling networks.",kif14
"Global, in vivo, and site-specific phosphorylation dynamics in signaling networks.",st6galnac4
Human TRE17 oncogene is generated from a family of homologous polymorphic sequences by single-base changes,usp6
"Complete sequencing and characterization of 21,243 full-length human cDNAs",nrcam
"Complete sequencing and characterization of 21,243 full-length human cDNAs",tjap1
"Complete sequencing and characterization of 21,243 full-length human cDNAs",tpm4
"Complete sequencing and characterization of 21,243 full-length human cDNAs",usp16
"Complete sequencing and characterization of 21,243 full-length human cDNAs.",hrbl
"Complete sequencing and characterization of 21,243 full-length human cDNAs.",mapkapk5
"Complete sequencing and characterization of 21,243 full-length human cDNAs.",smyd4
"Complete sequencing and characterization of 21,243 full-length human cDNAs.",wnt3a
"Complete sequencing and characterization of 21,243 full-length human cDNAs.",zak
Characterization of the amino acid response element within the human sodium-coupled neutral amino acid transporter 2 (SNAT2) System A transporter gene.,sodium-coupled neutral amino acid transporter 2
Expression of members of the putative olfactory receptor gene family in mammalian germ cells.,or5j2
Coincident PTCH and BRCA1 germline mutations in a patient with nevoid basal cell carcinoma syndrome and familial breast cancer.,ptch1
