Title,page_title
"A new albuliform (Teleostei: Elopomorpha) from the Lower Cretaceous Santana Formation, Araripe Basin, northeastern Brazil",2010 in paleoichthyology
"The Late Pliocene Bovidae and Cervidae (Mammalia) of Milia (Grevena, Macedonia, Greece)",2017 in mammal paleontology
"Discovery of several Sphenophyllum from Cisuralian in Yongchang, Gansu and its paleogeographical significance",2019 in paleobotany
"Sauropod teeth from the Middle Jurassic of Madagascar, and the oldest record of Titanosauriformes",2019 in archosaur paleontology
"A deltatheroidan mammal from the Upper Cretaceous Baynshiree Formation, eastern Mongolia",2015 in paleontology
"New Bivalved Arthropods from the Cambrian (Series 3, Drumian Stage) of Western Hunan, South China",2014 in arthropod paleontology
Unique skull network complexity of Tyrannosaurus rex among land vertebrates,timeline of tyrannosaur research
Late Givetian ammonoids from Oberberge (Middle Devonian; Rhenish Mountains),2015 in molluscan paleontology
"Exceptional preservation of comma shrimp from a mid-Cretaceous Lagerst\xe4tte of Colombia, and the origins of crown Cumacea",2019 in arthropod paleontology
Les phosphates du Maroc (2) : des faunes d'Invert\xe9br\xe9s domin\xe9es par les bivalves et les gast\xe9ropodes,2019 in paleomalacology
The first fossil of a bolbitidoid fern belongs to the early-divergent lineages of Elaphoglossum (Dryopteridaceae),2014 in paleobotany
Transoral Robotic Surgery for Obstructive Sleep Apnea: A Systematic Review and Meta-Analysis,transoral robotic surgery
"A New Species of the Basal ""Kangaroo"" \'\'Balbaroo\'\' and a Re-Evaluation of Stem Macropodiform Interrelationships",2014 in mammal paleontology
New short-horned flies (Diptera: Eremochaetidae) from the Early Cretaceous of China,2014 in arthropod paleontology
Potential distribution of fossil xenarthrans in South America during the late Pleistocene: co-pccurrence and provincialism,2018 in mammal paleontology
The Oligocene mollusc types of Gaetano Rovereto from Santa Giustina and Sassello (NW Italy),2018 in paleomalacology
The diverse dietary profiles of MIS 3 cave bears from the Romanian Carpathians: insights from stable isotope (\u03b413C and \u03b415N) analysis,2018 in mammal paleontology
