Title,page_title
"The morphology and systematics of Avaceratops, a primitive horned dinosaur from the Judith River Formation (Late Campanian) of Montana, with the description of a second skull",yehuecauhceratops
Conus: First Comprehensive Conservation Red List Assessment of a Marine Gastropod Mollusc Genus,cone snail
Analysis of strand slippage in DNA polymerase expansions of CAG/CTG triplet repeats associated with neurodegenerative disease,slipped strand mispairing
"Public Space, Enlarged Mentality and Being-In-Poverty",poverty
"Designed ankyrin repeat proteins (DARPins): binding proteins for research, diagnostics, and therapy",molecular partners
A review of the Australian species of Penion Fischer (Neogastropoda: Buccinidae),penion maximus
The genus Rhododendron: an ethnopharmacological and toxicological review,rhododendron
Neutron Scattering Function of Vitreous and Molten Zinc Chloride,zinc chloride
Impaired parietal magnitude processing in developmental dyscalculia,education
Noise-Enhanced Balance Control in Patients with Diabetes and Patients with Stroke,stochastic
"On Sofanapis antillanca (Araneae, Anapidae) as a kleptoparasite of austrochiline spiders (Araneae, Austrochilidae)",anapidae
"Density dependent acquired resistance to ticks in natural hosts, independent of concurrent infection with Babesia microti",ticks of domestic animals
Subfunctionalization of duplicated genes as a transition state to neofunctionalization,neofunctionalization
Effects of left ventricular unloading by Impella recover LP2.5 on coronary hemodynamics,impella
Genomic Evidence for two functionally distinct gene classes,james a. lake
The heritability of all-or-none traits: viability of poultry,threshold model
Children's responses to ambiguous messages and their understanding of ambiguity,children's use of information
"The Origins of Overkill: Nuclear Weapons and American Strategy, 1945\u20131960",single integrated operational plan
Excision as treatment of dermal melanomatosis in horses: 11 cases (1994-2000),equine melanoma
"Cost-Effectiveness of the Second Wave of Protease Inhibitors in the Treatment of Chronic Hepatitis C (Genotype 1) in Patients Not Previously Treated with Antiviral Drugs, and for Relapsed Disease",narlaprevir
CareTrack: assessing the appropriateness of healthcare delivery in Australia,jeffrey braithwaite
Collection and analysis of a Parkinson speech dataset with multiple types of sound recordings,list of datasets for machine-learning research
The Post-Ducal \u2018Dukes of Naxos\u2019 of the \u2018per Dignit\xe0 First Duchy of Christendom\u2019: A Re-Examination and Assessment,duchy of the archipelago
The Log of Gravity,gravity model of trade
[Killing of the goshawk Accipiter gentilis by Hooded Crows Corvus cornix],northern goshawk
Deep Learning,artificial intelligence
"Sociosexuality from Argentina to Zimbabwe: A 48-nation study of sex, culture, and strategies of human mating",infidelity
Lectin control of protein folding and sorting in the secretory pathway.,john j. m. bergeron
Attachment styles and marital adjustment among newlywed couples,attachment in adults
Isosurfacing in span space with utmost efficiency (ISSUE),christopher r. johnson
How Child Welfare Workers Assess and Intervene around Issues of Domestic Violence,child neglect
Benefits of female mimicry to snakes,garter snake
"On the generic status of Atlantadorus Siddiqi, 1974 and Nanidorus Siddiqi, 1974 (Nematoda: Trichodoridae)",trichodoridae
"China, Vietnam, and ASEAN: The Politics of Polarization",political polarization
Degradation of pyridine derivatives in soil,picoline
Exposure assessment of tetrafluoroethylene and ammonium perfluorooctanoate 1951-2002,tetrafluoroethylene
Mind wandering & Dysphoria,mind-wandering
Human germline genetic modification: scientific and bioethical perspectives,genetic engineering
Scaling of sexual size dimorphism in body mass: a phylogenetic analysis of Rensch's rule in primates,phylogenetic comparative methods
Disruptive selection and the genetic basis of bill size polymorphism in the African finch Pyrenestes,disruptive selection
The consequences of antisocial behavior in older male siblings for younger brothers and sisters,sibling relationship
The odontological identification of Adolf Hitler,the death of adolf hitler
The gastrointestinal microbiota as a site for the biotransformation of drugs,pharmacomicrobiomics
On the gap in the theorem of Heegner,kurt heegner
The regulation of negative reactivity in infancy: Function and development,emotional self-regulation
