Title,page_title
Measurement of dipolar contributions to 1JCH splittings from magnetic-field dependence of J modulation in two-dimensional NMR spectra,residual dipolar coupling
"Relational aggression, gender, and peer acceptance: Invariance across culture, stability over time, and concordance among informants",relational aggression
Greek Immigration Policy at the Turn of the 21st Century. Lack of Political Will or Purposeful Mismanagement?,human trafficking in greece
Catalog of recent and fossil turrids (Mollusca: Gastropoda),anarithma stepheni
Catalog of recent and fossil turrids (Mollusca: Gastropoda),antiplanes catalinae
Catalog of recent and fossil turrids (Mollusca: Gastropoda),inquisitor angustiliratus
Catalog of recent and fossil turrids (Mollusca: Gastropoda),inquisitor varicosus
Catalog of recent and fossil turrids (Mollusca: Gastropoda),nepotilla microscopica
Catalog of recent and fossil turrids (Mollusca: Gastropoda),teretiopsis abyssalis
Catalog of recent and fossil turrids (Mollusca: Gastropoda),daphnella diluta
Catalog of recent and fossil turrids (Mollusca: Gastropoda),famelica monotropis
Catalog of recent and fossil turrids (Mollusca: Gastropoda),pleurotomella annulata
Catalog of recent and fossil turrids (Mollusca: Gastropoda),truncadaphne
Chinese Students in a UK Business School: Hearing the Student Voice in Reflective Teaching and Learning Practice,teacher education
Fundamental research needs in organic electronic materials,printed electronics
The New World tarantula-hawk wasp genus Pepsis Fabricius (Hymenoptera: Pompilidae). Part 1. Introduction and the P. rubra species-group,pepsis grossa
"Barriers to follow-up of abnormal Papanicolaou smears among women in Leon, Nicaragua",healthcare in nicaragua
Narrowing the transmission gap: A systhesis of three decades of research on intergenerational transmission of attachment,marinus van ijzendoorn
Anomalous diffusion of fluorescent probes inside living cell nuclei investigated by spatially resolved fluorescence correlation spectroscopy,fluorescence correlation spectroscopy
Why do parents become involved in their children's education? Implications for school counselors,school counselor
"Genetic characterization of Eastern ""Coyotes"" in eastern Massachusetts",eastern coyote
"A new genus of coleoid cephalopod from the Jackson Group (Late Eocene), Hinds County, Mississippi",belosaepiidae
\xdcber Ruhelagen von Fischen,sleep in non-human animals
Basicranial morphology and phylogenetic position of the upper Eocene carnivoramorphan Quercygale,quercygale
Religiosity and attitudes toward lesbians and gay men: A meta-analysis,homosexuality and religion
A Dialectical Examination of Remarriage Dyadic Communication and Communication with Social Networks,relational dialectics
The size of the sync basin,kuramoto model
"A Relict Population of Fagus grandifolia var. mexicana at the Acatlan Volcano, Mexico: Structure, Litterfall, Phenology and Dendroecology",fagus mexicana
Who kills whom in spouse killings? On the exceptional sex ratio of spousal homicides in the United States,uxoricide
Transcription termination at the tryptophan attenuator is decreased in vitro by an oligomer complementary to a segment of the leader transcript,trp operon
Single plane illumination fluorescence correlation spectroscopy (SPIM-FCS) probes inhomogeneous three-dimensional environments.,light sheet fluorescence microscopy
Glaucoma \u2013 state of the art and perspectives,flammer syndrome
"Maiasaura, a model organism for extinct vertebrate population biology: a large sample statistical assessment of growth dynamics and survivorship",eolambia
