Title,page_title
Acetylation of HIV-1 Tat by CBP/P300 increases transcription of integrated HIV-1 genome and enhances binding to core histones,hist1h2ag
CHX10 targets a subset of photoreceptor genes.,vsx2
"Genomic structure, alternative transcripts and chromosome location of the human LIM domain binding protein 1 gene LDB1.",ldb1
cDNA from human ocular ciliary epithelium homologous to beta ig-h3 is preferentially expressed as an extracellular protein in the corneal epithelium.,tgfbi
Large-scale mapping of human protein-protein interactions by mass spectrometry.,klhdc3
Large-scale mapping of human protein\u2013protein interactions by mass spectrometry,60s ribosomal protein l32
Ring finger protein ZIN interacts with human immunodeficiency virus type 1 Vif,rnf216
Overexpression of RGC-32 in colon cancer and other tumors.,regulator of cell cycle rgcc
Interaction of the Human Immunodeficiency Virus Type 1 Vpr Protein with the Nuclear Pore Complex,pom121
DEFOG: a practical scheme for deciphering families of genes.,or9i1
A Cdc2-related protein kinase hPFTAIRE1 from human brain interacting with 14-3-3 proteins.,pftk1
"The status, quality, and expansion of the NIH full-length cDNA project: the Mammalian Gene Collection (MGC)",trim16
"The status, quality, and expansion of the NIH full-length cDNA project: the Mammalian Gene Collection (MGC).",kcns2
"Sequence, structure, and evolution of a complete human olfactory receptor gene cluster",or1e1
Identification of new putative susceptibility genes for several psychiatric disorders by association analysis of regulatory and non-synonymous SNPs of 306 genes involved in neurotransmission and neurodevelopment,htr3b
The DNA sequence and biology of human chromosome 19,or1i1
Apparent up-regulation of stimulatory G-protein alpha subunits in the pregnant human myometrium is mimicked by elevated smoothelin expression.,smtn
Mmip1: a novel leucine zipper protein that reverses the suppressive effects of Mad family members on c-myc.,mxd1
Characterization of long cDNA clones from human adult spleen,mical1
DNA sequence and analysis of human chromosome 9,hemgn
Identification of ROBO1 as a novel hepatocellular carcinoma antigen and a potential therapeutic and diagnostic target,robo1
Clara cell 10 kDa protein mRNA in normal and atypical regions of human respiratory epithelium.,uteroglobin
Nuclear PtdIns5P as a transducer of stress signaling: an in vivo role for PIP4Kbeta.,pi4k2b
"Small-conductance, calcium-activated potassium channels from mammalian brain",kcnn1
Diversity of the p70 killer cell inhibitory receptor (KIR3DL) family members in a single individual.,kir3dl2
"Expression, purification, and characterization of Tara, a novel telomere repeat-binding factor 1 (TRF1)-binding protein.",triobp
