Title,page_title
Case of unusual foreign body in the rectum,rectal foreign body
Un Nuevo G\xe9nero de Anhingidae (Aves: Pelecaniformes) del Plioceno-Pleistoceno del Uruguay (Formaci\xf3n San Jos\xe9),2002 in paleontology
"The Bias Against Guns: Why almost everything you've heard about gun control is wrong. John Lott Jr., Regnery Publishing, Inc. 2003, pp. 349",the bias against guns
Relationship of Correlated Spontaneous Activity to Functional Ocular Dominance Columns in the Developing Visual Cortex,ocular dominance column
Icephobic Surfaces Induced by Interfacial Nonfrozen Water,icephobicity
The Viscosity of Gaseous Uranium Hexafluoride1,albert l. myerson
British Institution of Radio Engineers: Twenty-first Anniversary,institution of electronic and radio engineers
Appraisal and Assessment of World Water Resources,tragedy of the commons
Metals in cigarette smoke,copper
Neurosurgery at the Barrow Neurological Institute,barrow neurological institute
Large thermoelectric power factor inTiS2crystal with nearly stoichiometric composition,seebeck coefficient
Western Anti-Muslim Prejudice: Value Conflict or Discrimination of Persons Too?,islamophobia
ASTRONOMY: Pulsar Glitches,glitch (astronomy)
Pulkovo Compilation of Radial Velocities for 35 495 Hipparcos stars in a common system,hd 64760
Transient semantic amnesia: A new syndrome?,semantic amnesia
"Toxicant content, physical properties and biological activity of waterpipe tobacco smoke and its tobacco-free alternatives",hookah lounge
Review: Play: Edward II,guy oliver-watts
Phylogenetic Studies in the Commelinaceae Subfamily Commelinoideae Inferred from Nuclear Ribosomal and Chloroplast DNA Sequences,commelinaceae
Artificial Selection: A Powerful Tool for Ecologists,selective breeding
"The Old Host-galaxy Environment of SSS17a, the First Electromagnetic Counterpart to a Gravitational-wave Source",neutron star merger
"Reviewed work: Seduced by Secrets: Inside the Stasis Spy-Tech World, Kristie Macrakis",kristie macrakis
Are You Being Served? Political Accountability and Quality of Government\n,political corruption
Penetrating Power of Objectives,ernst abbe
Extended sympathy and the possibility of social choice,kenneth arrow
Uncertainty and the welfare economics of medical care,kenneth arrow
"The influence of Ben Jonson's Volpone on Mary Wollstonectaft's Maria, or The Wrongs of Woman","maria: or, the wrongs of woman"
"M\xe9moire sur les \xe9p\xe8ces d'elephans tant vivantes que fossils, lu \xe0 la s\xe9ance publique de l'Institut National le 15 germinal, an IV",woolly mammoth
Pinus hartwegii,pinus hartwegii
War of the Worlds,alien invasion
"From Men to Boys: LDS Aaronic Priesthood Offices, 1829\u20131996",aaronic priesthood (latter day saints)
"In Panama, some Guaymis blaze a new path",baháʼí faith in central america
Mythologies and Commodifications of Dominion in The Dog Whisperer with Cesar Millan,dog
A tale of two cities: competing logics and practice variation in the professionalizing of mutual funds,new institutionalism
E-Government in Britain \u2013 a decade on,helen margetts
"New Developments in Irish Population History, 1700-1850",county mayo
Boys in the Hoods,charles weeghman
Web Control,byron review
Deconstructing Roth and Barrett,trevor pinch
A New Verdict on Tammany Hall,dean silvers
A practical utopianism? (review),democracy realized
Air-earth exchanger study in real site experimentation and simulation,solar chimney
"Orientalism and the Modern Myth of ""Hinduism""",hinduism
Lone Star Pterosaurs,chaoyangopterus
Types and persistence in database programming languages,peter buneman
What Did and Did Not Cause Collapse of World Trade Center Twin Towers in New York?,architects & engineers for 9/11 truth
Where There is No Doctor,where there is no doctor
Dynamic shifts of limited working memory resources in human vision,short-term memory
A new primate from the Eocene Pondaung Formation of Myanmar and the monophyly of Burmese amphipithecids,afrasia djijidae
Straight talk with...Ray Moynihan,selling sickness
Torsion and geometrostasis in nonlinear sigma models,non-linear sigma model
Acoustic divergence in the communication of cryptic species of nocturnal primates (Microcebus ssp.),lemur
Graph structure in the Web,prabhakar raghavan
Geoengineering climate by stratospheric sulfur injections: Earth system vulnerability to technological failure,stratospheric aerosol injection
Edwin Herbert Land. 7 May 1909-1 March 1991,edwin h. land
Spectral expansion solution for some finite capacity queues,spectral expansion solution
Quantum defect theory for asymmetric tops: Application to the Rydberg spectrum of H2O,mark child
Smart policy toward high-skill emigrants,immigration
Biological bases of anxiety,georges chapouthier
Light-emitting diodes made from cadmium selenide nanocrystals and a semiconducting polymer,light-emitting diode physics
A combined evidence phylogenetic analysis of Anguimorpha (Reptilia: Squamata),shinisauria
Ambient Mass Spectrometry,ambient ionization
Ambient Mass Spectrometry,electrospray ionization
"Changing eruptive styles in basaltic explosive volcanism: Examples from Croscat complex scoria cone, Garrotxa Volcanic Field (NE Iberian Peninsula)",croscat
Inaugural Article: Pattern pluralism and the Tree of Life hypothesis,tree of life (biology)
The interpretive approach in political science: a symposium,keith dowding
'Vicious assault shakes Texas town': the politics of gender violence in The New York Times coverage of a schoolgirl's gang rape,the new york times
The Effect of Emigration from Poland on Polish Wages,immigration
No Need to Discriminate? Reproductive Diploid Males in a Parasitoid with Complementary Sex Determination,hymenoptera
Food-associated calls correlate with food preferences in cotton-top tamarins,cotton-top tamarin
"Review of the species level taxonomy of the neotropical butterfly genus Oenomaus (Lycaenidae, Theclinae, Eumaeini)",oenomaus mentirosa
The Neuronal Replicator Hypothesis,neural darwinism
Genomic Grade Index: An important tool for assessing breast cancer tumor grade and prognosis,breast cancer classification
Sign languages and creoles,sign language
Maxwell Myer Wintrobe: New history and a new appreciation,maxwell wintrobe
Responses of Male White Ibises to Their Mate's Extra-Pair Copulations,american white ibis
Mulattoes and metis. Attitudes toward miscegenation in the United States and France since the seventeenth century,miscegenation
Triple Michelson interferometer for a third-generation gravitational wave detector,sagnac effect
Oxygen concentrators: A primary oxygen supply source,oxygen concentrator
Purified Box C/D snoRNPs Are Able to Reproduce Site-Specific 2'-O-Methylation of Target RNA in Vitro,small nucleolar rna z173
Purified Box C/D snoRNPs Are Able to Reproduce Site-Specific 2'-O-Methylation of Target RNA in Vitro,small nucleolar rna z247
Alice Perrers and Her Husband's Relatives,alice perrers
Devonian in situ spores: a survey and discussion,salopella
"Necessity and Prisoners\' Rights."".",body cavity search
Beyond the flow decomposition barrier,maximum flow problem
Advanced Glycation End Products: Sparking the Development of Diabetic Vascular Injury,diabetic foot ulcer
Exponentially modified Gaussian (EMG) relevance to distributions related to cell proliferation and differentiation,exponentially modified gaussian distribution
A Novel Fragmentation of trans-\u03c0-Bromocamphor,wolff–kishner reduction
Knowledge and Common Knowledge in a Distributed Environment,common knowledge (logic)
Duality for Set-Valued Measures of Risk,acceptance set
Culturomics: Word play,erez lieberman aiden
Structure-based classification and ontology in chemistry,robert david stevens
Does female income share influence household expenditures? Evidence from C\xf4te d'Ivoire,john hoddinott (economist)
George Wells Beadle. 23 October 1903-9 June 1989,george beadle
Sir Ewart Ray Herbert Jones 16 March 1911 - 7 May 2002 Elected FRS 1950,ewart jones
Replacing the complementarity-determining regions in a human antibody with those from a mouse,michael neuberger
"Open Bibliography for Science, Technology, and Medicine",peter murray-rust
"Walter Laing Macdonald Perry KT OBE, Baron Perry of Walton. 21 June 1921 \u2013 17 July 2003: Elected F.R.S. 1985",list of fellows of the royal society elected in 1985
Jerzy Neyman. 16 April 1894-5 August 1981,jerzy neyman
A Potential Recoiling Supermassive Black Hole CXO J101527.2+625911,binary black hole
The role of pharmacogenetics in the metabolism of antiepileptic drugs: pharmacokinetic and therapeutic implications.,list of drugs by year of discovery
Menopausal hormone therapy for the primary prevention of chronic conditions. U.S. Preventive Services Task Force Recommendation Statement,bioidentical hormone replacement therapy
"Solly Zuckerman Baron Zuckerman, of Burnham Thorpe, O. M., K. C. B. 30 May 1904 \u2013 1 April 1993",list of fellows of the royal society elected in 1943
Recombinant human insulin,history of genetic engineering
Osmotrophy in modular Ediacara organisms,erniettomorph
Proving the Correctness of Multiprocess Programs,liveness
Gendered perceptions and political candidacies: a central barrier to women's equality in electoral politics,jennifer l. lawless
Preventive effects of chebulic acid isolated from Terminalia chebula on advanced glycation endproduct-induced endothelial cell dysfunction,terminalia chebula
Detection of capsule tampering by near-infrared reflectance analysis,bootstrap error-adjusted single-sample technique
Habitat Destruction and the Extinction Debt Revisited,extinction debt
64. The Structure of the Boron Hydrides,diborane
Joseph Lade Pawsey 1908-1962,joseph lade pawsey
"Hereditary ovarian carcinoma: Heterogeneity, molecular genetics, pathology, and management",brca mutation
Marriage and the moral bases of personal relationships.,mavis maclean
"The Sri Lankan shrub-frogs of the genus Philautus Gistel, 1848 (Ranidae: Rhacophorinae), with description of 27 new species",pseudophilautus extirpo
Federico Delpino and the foundation of plant biology,nectar
Whose Justice? Which Rationality?,alasdair macintyre
Thomas George Cowling. 17 June 1906 \u2013 16 June 1990,leon mestel
Deep Time and the Search for Anthropoid Origins,afrasia djijidae
"A large predatory lizard (Platynota, Squamata) from the Late Cretaceous of South China",chianghsia
The concept of gender identity disorder in childhood and adolescence after 39 years,gender identity
"Cenozoic Birds of the World, Part 1: Europe",miocorvus
