Title,page_title
Quality control mechanisms in cellular and systemic DNA damage responses,psmd10
"The mannose permease of Escherichia coli consists of three different proteins. Amino acid sequence and function in sugar transport, sugar phosphorylation, and penetration of phage lambda DNA",lambda phage
The structure of bacterial DnaA: implications for general mechanisms underlying DNA replication initiation,origin of replication
In utero and childhood polybrominated diphenyl ether (PBDE) exposures and neurodevelopment in the CHAMACOS study,endocrine disruptor
Calcium binding to gatekeeper residues flanking aggregation-prone segments underlies non-fibrillar amyloid traits in superoxide dismutase 1 (SOD1),sod1
Why has demand for platelet components increased? A review,platelet transfusion
The crystal structure of human receptor protein tyrosine phosphatase kappa phosphatase domain 1.,ptprk
Repression of aryl hydrocarbon receptor (AHR) signaling by AHR repressor: role of DNA binding and competition for AHR nuclear translocator,aryl hydrocarbon receptor repressor
Genomic organization and localization of the gene encoding human preprogalanin,galanin
The Classic: Diffuse endothelioma of bone. Proceedings of the New York Pathological Society. 1921;12:17,ewing's sarcoma
Large-scale mapping of human protein-protein interactions by mass spectrometry,prkar1a
Large-scale mapping of human protein-protein interactions by mass spectrometry,ahsa1
Checkpoint protein BubR1 acts synergistically with Mad2 to inhibit anaphase-promoting complex,bub1b
Detecting DNA: getting and begetting cancer,damage-associated molecular pattern
An integrated approach for experimental target identification of hypoxia-induced miR-210,mir-210 microrna
Molecular cloning and characterization of a distinct human phosphodiesterase gene family: PDE11A,pde11a
Inhibitory phosphorylation site for Rho-associated kinase on smooth muscle myosin phosphatase,integrin-linked kinase
"Membrane topology of human insig-1, a protein regulator of lipid synthesis",insulin-induced gene 1 protein
Rhinosinusitis in oral medicine and dentistry,sinusitis
Effect of chordin-like 1 on MC3T3-E1 and human mesenchymal stem cells,chordin-like 1
Expression and characterization of a human cDNA that complements the temperature-sensitive defect in dolichol kinase activity in the yeast sec59-1 mutant: the enzymatic phosphorylation of dolichol and diacylglycerol are catalyzed by separate CTP-mediated kinase activities in Saccharomyces cerevisiae,dolichol kinase
Genome-wide association analysis identifies 11 risk variants associated with the asthma with hay fever phenotype,interleukin 33
Metazoan opsin evolution reveals a simple route to animal vision,opsin
Bioidentical hormone therapy,bioidentical hormone replacement therapy
Systematic protein location mapping reveals five principal chromatin types in Drosophila cells,h3k4me1
Systematic protein location mapping reveals five principal chromatin types in Drosophila cells,h4k12ac
The economic impact of Parkinson's disease,parkinson's disease
Serum level of VEGF-D in patients with primary lymphedema,c-fos-induced growth factor
Structure and evolution of the human SPRR3 gene: implications for function and regulation,sprr3
"The design, synthesis and application of stereochemical and directional peptide isomers: a critical review",enzyme inhibitor
Isolation and sequence analysis of a cDNA encoding rat liver alpha-L-fucosidase,glycoside hydrolase family 29
Enzymatic synthesis of homocysteine or methionine directly from O-succinyl-homoserine,cystathionine gamma-synthase
"Efficacy of prebiotics, probiotics, and synbiotics in irritable bowel syndrome and chronic idiopathic constipation: systematic review and meta-analysis",lactobacillus
Birth spacing and child mortality: an analysis of prospective data from the Nairobi urban health and demographic surveillance system,birth spacing
Experimental disclosure and its moderators: a meta-analysis,affect labeling
"Expanding the black box - depression, antidepressants, and the risk of suicide",selegiline
Review of clinical experience with estradiol in combined oral contraceptives,estradiol-containing birth control pill
A revised timescale for human evolution based on ancient mitochondrial genomes,haplogroup u (mtdna)
A synthetic gene coding for the green fluorescent protein (GFP) is a versatile reporter in Chlamydomonas reinhardtii,artificial gene synthesis
Calcium-dependent regulation of smooth muscle calponin by S100,calponin 2
Use of dynamic and colored stereogram to measure stereopsis in strabismic patients,stereopsis
"Specific localization of an inwardly rectifying K(+) channel, Kir4.1, at the apical membrane of rat gastric parietal cells; its possible involvement in K(+) recycling for the H(+)-K(+)-pump",kcnj10
Actions and mode of actions of FGF19 subfamily members,fibroblast growth factor
The nongenomic actions of aldosterone,membrane mineralocorticoid receptor
IL-25 causes apoptosis of IL-25R-expressing breast cancer cells without toxicity to nonmalignant cells,interleukin 25
Distinct effects of {delta}9-tetrahydrocannabinol and cannabidiol on neural activation during emotional processing,cannabis
"Tracing the evolution of a large protein complex in the eukaryotes, NADH:ubiquinone oxidoreductase (Complex I)",respiratory complex i
Structural analysis of urate oxidase in complex with its natural substrate inhibited by cyanide: mechanistic implications,urate oxidase
L-Tyrosine regulation and biosynthesis via arogenate dehydrogenase in suspension-cultured cells of Nicotiana silvestris Speg. et Comes,arogenate dehydrogenase (nadp+)
Purified box C/D snoRNPs are able to reproduce site-specific 2'-O-methylation of target RNA in vitro,small nucleolar rna snord47
The requirement for Cdc48/p97 in nuclear protein quality control degradation depends on the substrate and correlates with substrate insolubility,valosin-containing protein
Physical training and multiple sclerosis,multiple sclerosis
Antagonistic and agonistic effects of tamoxifen: significance in human cancer,tamoxifen
Genetic basis of non-syndromic anomalies of human tooth number,hypodontia
The family of box ACA small nucleolar RNAs is defined by an evolutionarily conserved secondary structure and ubiquitous sequence elements essential for RNA accumulation,small nucleolar rna snora66
Trp(56) of rac1 specifies interaction with a subset of guanine nucleotide exchange factors,rac1
[Effects of subchronic administration of gammahydroxybutyrate (GHB) on spatial working memory in rats],gamma-hydroxybutyric acid
BNaC1 and BNaC2 constitute a new family of human neuronal sodium channels related to degenerins and epithelial sodium channels,asic2
The 2014 Ebola virus disease outbreak in West Africa,ebola virus disease treatment research
Evidence that 2-hydroxyglutarate is not readily metabolized in colorectal carcinoma cells,citric acid cycle
Physical activity and exercise for chronic pain in adults: an overview of Cochrane Reviews,chronic pain
Subtypes of medulloblastoma have distinct developmental origins,medulloblastoma
Study of Fgf15 gene expression in developing mouse brain,fgf15
"Specific DNA binding of GAL4, a positive regulatory protein of yeast",gal4 transcription factor
Secretory pancreatic stone protein messenger RNA. Nucleotide sequence and expression in chronic calcifying pancreatitis,reg1a
